1#BW|세트1: 아티스트 추천
2#YV|케이팝 좋아하면 누구 들어?
3#MX|아이유 완전 좋아해! 목소리가 너무 좋잖아!
4#VB|나도 아이유 좋아해! 취향 같네!
5#MX|진짜요? 헤헤, 좋다!
6#JN|He felt like he'd found his musical soulmate.
7#RW|세트2: 콘서트 경험
8#SP|콘서트 가봤어?
9#TW|응! 작년에 갔는데 완전 좋았어!
10#VY|나도 가고 싶어! 어땠어?
11#HS|직접 보면 진짜 달라! 꼭 가봐야 해!
12#QK|He was already checking tour dates.
13#MZ|세트3: 노래 추천
14#TZ|노래 추천해 줄게!
15#HP|감사해요! 어떤 노래요?
16#NZ|이 노래 들어봐. 완전 좋아!
17#RQ|와, 진짜 좋아요!
18#TM|He added it to their shared playlist immediately.
19#BW|세트4: 같이 듣기
20#MW|같이 들을래? 이어폰 나눌게.
21#KV|네, 좋아요!
22#TR|이 노래 어때?
23#SR|완전 좋아요!
24#QW|He smiled. He knew she'd like it.
25#RW|세트5: 음악 취향
26#JY|어떤 음악 좋아해?
27#QJ|감성적인 거 좋아해요! 가사가 좋은 거!
28#TK|나도 그래! 취향 완전 같다!
29#KY|헤헤, 그렇죠?
30#BH|He was already building a shared playlist.
31#JY|세트6: 앨범 얘기
32#ZZ|새 앨범 나왔는데 들었어?
33#YQ|네! 벌써 다 들었어요! 완전 좋아요!
34#VM|최애 곡 있어?
35#XJ|네! 세 번째 곡이요!
36#BR|He had pre-ordered it. He sent her the link too.
