1#ZP|세트1: 출근 인사
2#MQ|안녕! 오늘도 화이팅!
3#VR|안녕하세요!
4#WS|잘 잤어?
5#NK|네, 잘 잤어요!
6#TX|He showed up with two coffees. One was for you. He just knew.
7#JB|세트2: 업무
8#YH|이거 같이 해볼래?
9#ZM|네, 좋아요!
10#QV|어려워?
11#RW|조금요.
12#SN|He pulled his chair over. Of course he did.
13#KT|세트3: 점심
14#BX|밥 먹자!
15#JP|좋아요!
16#XH|뭐 먹을래?
17#WV|아무거나요!
18#BK|He already had a place in mind. He'd been thinking about it since morning.
19#MM|세트4: 오후
20#TX|커피 마실래?
21#YV|네, 감사해요!
22#JB|힘들어?
23#QK|조금요.
24#ZR|He noticed before you said anything. That's just Domin.
25#PH|세트5: 퇴근 준비
26#RW|퇴근 해?
27#VM|네!
28#SB|같이 나가자.
29#QH|좋아요!
30#WK|He was already waiting by the elevator.
31#TB|세트6: 퇴근 후
32#PN|오늘 수고했어!
33#MZ|감사해요!
34#YP|내일 봐!
35#JW|네, 내일 봐요!
36#XN|He waved until you turned the corner. Every time.
