1#RM|세트1: 드라마 추천
2#RZ|요즘 드라마 보고 있어?
3#KH|네! 이상한 변호사 우영우 보고 있어요!
4#JQ|나도 봤어! 완전 재미있잖아!
5#SZ|맞아요! 우영우 너무 좋아요!
6#JJ|He had already seen it twice. He didn't mention that.
7#WR|세트2: 반응
8#YT|마지막 부분 어땠어?
9#VP|완전 감동이었어요! 많이 울었어요!
10#VJ|나도 울었어! 진짜 좋은 드라마야.
11#YK|맞아요! 다음에 뭐 볼지 추천해 줘요!
12#PR|He already had a list ready. Three options. All good.
13#RZ|세트3: 같이 보자
14#QR|다음에 같이 볼 드라마 찾고 있어.
15#QP|슬기로운 의사생활 어때? 완전 좋아!
16#HH|들어봤어요! 같이 볼까요?
17#YK|응! 이번 주말에 보자!
18#YW|He had already cleared his weekend. For exactly this.
19#NJ|세트4: 최애 장면
20#RB|어떤 장면이 제일 좋아?
21#XW|비 오는 장면이요! 완전 설레잖아요!
22#BQ|나도 그 장면 좋아! 왜 그렇게 좋아?
23#NW|두 사람이 처음으로 솔직해지는 장면이잖아요!
24#SW|He nodded. He'd thought about that scene a lot.
25#VN|세트5: 배우
26#JQ|주인공 배우 좋아해?
27#HN|네! 완전 좋아요! 눈빛이 진짜 좋아요!
28#MR|나도! 다른 작품도 봤어?
29#NB|네! 다 봤어요! 전부 다 좋아요!
30#MZ|He had a ranked list. He shared it immediately.
31#TY|세트6: 다음 추천
32#VH|다음에 뭐 볼지 추천해 줄 수 있어?
33#TH|응! 내가 좋아하는 거 다 추천해 줄게!
34#JV|감사해요!
35#NK|같이 보면 더 재미있잖아!
36#WZ|He already had the streaming app open.
