1#ZK|세트1: 아티스트
2#ZY|케이팝 좋아해?
3#XN|네, 좋아요!
4#TS|누구 좋아해?
5#VH|아이유요!
6#WX|He smiled. Good taste.
7#KX|세트2: 콘서트
8#RP|콘서트 가봤어?
9#HT|네, 갔어요!
10#RS|어땠어?
11#BV|완전 좋았어요!
12#QN|He went to three concerts last year. He's not ashamed.
13#QP|세트3: 노래 추천
14#NQ|노래 추천해 줄게!
15#YZ|감사해요!
16#KV|이 노래 어때?
17#PR|완전 좋아요!
18#VJ|He added it to his playlist immediately.
19#ZW|세트4: 같이 듣기
20#MS|같이 들을래?
21#VP|네, 좋아요!
22#MY|이어폰 있어?
23#XY|네, 있어요!
24#KJ|He handed over one earbud with a smile.
25#VY|세트5: 최애 곡
26#WQ|최애 곡 있어?
27#WR|네, 있어요!
28#PT|뭔데?
29#QY|이 노래요!
30#YK|He plays it when he's happy. Which is often.
31#SW|세트6: 앨범
32#PN|새 앨범 들었어?
33#HX|네, 들었어요!
34#XR|어때?
35#KP|완전 좋아요!
36#NS|He pre-ordered it. He sent her the link too.
