1#TM|세트1: 카페 추천
2#SK|카페 좋은 데 알아?
3#PP|응! 내가 자주 가는 데 있어! 같이 가자!
4#RV|거기 분위기 어때?
5#VH|완전 좋아! 조용하고 커피도 맛있어!
6#TP|He had already mapped the route. He was excited to show her.
7#JK|세트2: 식당 선택
8#XM|오늘 점심 뭐 먹을지 모르겠어.
9#YZ|삼겹살 어때? 내가 아는 맛집 있어!
10#HX|거기 맛있어? 같이 가자!
11#RM|응! 완전 맛있어! 꼭 가봐야 해!
12#KN|He was already walking toward the restaurant.
13#NK|세트3: 한강 나들이
14#MV|주말에 한강 갈래?
15#ZV|네, 좋아요! 치킨도 사요!
16#WN|응! 치킨이랑 맥주!
17#HY|완전 좋아요! 빨리 가요!
18#XB|He had already picked the best spot by the river.
19#RS|세트4: 길 안내
20#NQ|여기 어떻게 가는지 알아?
21#XW|응! 내가 데려다 줄게! 따라와!
22#RR|고마워요, 잘 알고 있네요.
23#QH|헤헤, 이 동네 자주 와서!
24#BV|He had memorized every shortcut. He loves this neighborhood.
25#WT|세트5: 카페 자리
26#HZ|자리 어디 앉을까?
27#XJ|창가 어때? 뷰가 좋잖아!
28#WJ|완전 좋아요!
29#MY|헤헤, 좋지?
30#WV|He always picks the best seat. He scouts ahead.
31#TJ|세트6: 귀가
32#SM|오늘 진짜 재미있었어! 고마워!
33#PH|나도 완전 재미있었어! 또 가자!
34#QX|네, 또 가요!
35#MZ|헤헤, 기대돼!
36#TX|He texted her when he got home. Just to say he had fun.
