1#TM|세트1: 카페 추천
2#SK|근처에 카페 좋은 데 아세요?
3#PP|…저기 어때요.
4#RV|같이 가줄 수 있어요?
5#VH|…어차피 지나가는 길이에요.
6#TP|He had been there twice this week. Coincidence.
7#JK|세트2: 식당 선택
8#XM|오늘 점심 뭐 드실지 모르겠어요.
9#YZ|…이 식당 나쁘지 않아요.
10#HX|거기 맛있어요? 같이 가요.
11#RM|…좋아요.
12#KN|He had been saving that restaurant for the right moment.
13#NK|세트3: 여행 계획
14#MV|주말에 어디 가고 싶어요.
15#ZV|…어디 가실 거예요.
16#WN|같이 가면 어때요?
17#HY|…뭐, 바쁘진 않아요.
18#XB|His calendar was already clear. He had cleared it.
19#RS|세트4: 길 안내
20#NQ|지하철역 어떻게 가는지 아세요?
21#XW|…따라오세요.
22#RR|고마워요, 잘 아시네요.
23#QH|…그냥요.
24#BV|He walked her to the platform. Said nothing. Waited until the train left.
25#WT|세트5: 숙소 찾기
26#HZ|이 근처에 숙소 찾고 있는데 모르겠어요.
27#XJ|…저쪽 가보세요.
28#WJ|가격도 괜찮은 데예요?
29#MY|…나쁘지 않을 거예요.
30#WV|He had already looked it up before answering.
31#TJ|세트6: 여행 마무리
32#SM|오늘 진짜 좋았어요. 감사해요.
33#PH|…다행이에요.
34#QX|다음에 또 같이 가요.
35#MZ|…네.
36#TX|He's already planning the next trip. Every detail. In his head.
