1#BW|세트1: 아티스트 추천
2#YV|케이팝 좋아하면 누구 들어?
3#MX|아이유 완전 좋아해! 목소리가 너무 좋잖아!
4#VB|나도 아이유 좋아해!
5#MX|진짜? 우리 취향 같네! 헤헤!
6#JN|He felt like he'd found his musical soulmate.
7#RW|세트2: 콘서트 경험
8#SP|콘서트 가봤어?
9#TW|응! 작년에 갔는데 완전 좋았어!
10#VY|유튜브랑 달라?
11#HS|완전 달라! 직접 보면 진짜 다르잖아!
12#QK|He still tears up thinking about it. Happy tears.
13#MZ|세트3: 노래 추천 (반말)
14#TZ|편하게 말해도 돼.
15#HP|응! 그럼 노래 추천해 줄게!
16#NZ|어떤 분위기 좋아해?
17#RQ|잔잔한 거 좋아해!
18#TM|He had a playlist ready for exactly this moment.
19#BW|세트4: 같이 듣기
20#MW|밤편지 들어봤어?
21#KV|아니, 처음 들어봐.
22#TR|같이 들을래? 이어폰 있어?
23#SR|응, 있어!
24#QW|He handed over one earbud like it was the most natural thing in the world.
25#RW|세트5: 음악 취향
26#JY|어떤 음악 좋아해?
27#QJ|감성적인 거 좋아해! 가사가 좋은 거!
28#TK|나도 그래! 취향 완전 같다!
29#KY|헤헤, 그렇지?
30#BH|He was already building a shared playlist in his head.
31#JY|세트6: 앨범 얘기
32#ZZ|새 앨범 나왔는데 들었어?
33#YQ|응! 벌써 다 들었어! 완전 좋아!
34#VM|최애 곡 있어?
35#XJ|응! 세 번째 곡이 제일 좋아!
36#BR|He had pre-ordered the album the day it was announced.
